               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023007,            0.017711,           0.0014727,             0.93711,             0.81553,              0.8933,             0.57134,            0.019837,            0.012907,          0.00064004,             0.00307,             0.00307,             0.00307
                  37,            0.022916,            0.017696,           0.0012577,             0.93862,             0.81445,             0.90843,             0.59543,            0.019666,            0.012743,           0.0005755,            0.002872,            0.002872,            0.002872
                  38,            0.022812,            0.017836,           0.0016472,             0.94924,             0.82375,             0.91469,             0.57379,            0.019751,            0.012811,          0.00058129,            0.002674,            0.002674,            0.002674
                  39,             0.02246,            0.017542,           0.0012964,             0.92621,             0.84319,             0.91089,             0.60572,            0.019414,             0.01268,          0.00054096,            0.002476,            0.002476,            0.002476
                  40,            0.022201,            0.016654,           0.0013369,             0.93114,             0.84229,             0.91354,             0.59327,            0.019361,            0.012619,          0.00052558,            0.002278,            0.002278,            0.002278
                  41,            0.021687,            0.017282,           0.0012313,             0.95088,              0.8709,             0.92812,             0.60863,            0.019181,            0.012442,          0.00042442,             0.00208,             0.00208,             0.00208
                  42,            0.022008,            0.017434,           0.0012187,             0.91671,             0.85686,             0.91344,             0.60308,            0.019229,            0.012494,          0.00040582,            0.001882,            0.001882,            0.001882
                  43,             0.02188,            0.016883,           0.0010937,             0.89528,             0.84635,              0.8866,             0.58053,            0.019027,            0.012348,          0.00040727,            0.001684,            0.001684,            0.001684
                  44,            0.021365,            0.016711,            0.001024,              0.9473,             0.85055,             0.92386,             0.62059,            0.019002,             0.01232,          0.00041883,            0.001486,            0.001486,            0.001486
                  45,            0.021694,            0.016211,           0.0011465,             0.89598,             0.86121,             0.92646,              0.5978,            0.018891,            0.012275,          0.00038619,            0.001288,            0.001288,            0.001288
                  46,            0.021593,            0.016807,           0.0011527,             0.94258,             0.84778,              0.9249,             0.60585,            0.018777,            0.012214,          0.00038752,             0.00109,             0.00109,             0.00109
                  47,             0.02073,            0.015995,            0.001144,             0.91421,             0.85056,             0.92687,             0.61953,            0.018679,             0.01216,           0.0003872,            0.000892,            0.000892,            0.000892
                  48,            0.021553,            0.016773,           0.0010232,             0.92919,             0.86916,             0.93201,             0.62935,            0.018489,            0.012048,          0.00034876,            0.000694,            0.000694,            0.000694
                  49,            0.021294,            0.016309,           0.0010466,             0.93675,             0.86595,             0.92917,             0.63322,            0.018455,             0.01203,          0.00034223,            0.000496,            0.000496,            0.000496
